"TOACI1","Ridge","Ridge"
"TMSTAMP","RECNBR","BattV_Avg","BattV_Min","PTemp_C_Avg","AirTemp_C_Avg","RH","WS_ms_Avg","WS_ms_Std","WS_ms_Max","WS_ms_TMx","WS_Geonor_Avg","WS_Geonor_Std","WS_Geonor_Max","WS_Geonor_TMx","T109_C_Avg","Incident_SW_Avg","FluxDensity_Out_Avg","NetRadiation_Avg","NR_Uncor_Avg","Q_Avg","SnowDepth_Avg","Geonor_Depth_Average","Geonor_Depth_StdDev","T1_Depth_Average","T2_Depth_Average","T3_Depth_Average","T1_Depth_StdDev","T2_Depth_StdDev","T3_Depth_StdDev","T1_Freq","T2_Freq","T3_Freq","AirPressure"
"2016-02-18 15:45:00",2,12.1,12.09,11.9,-4.806,89.8,15.09,5.555,24.87,"2016-02-18 15:42:00",10.24,5.331,20.98,"2016-02-18 15:33:15",-4.532,162.6608,-88.82999,37.7411,30.91205,196.3,3.091966,956.4118,3.034,961.5317,942.9575,964.746,3.725,3.346,1.593,2817.543,2796.58,2822.814,76.05
"2016-02-18 16:00:00",3,12.1,12.09,11.87,-4.746,90.8,12.67,3.758,20.93,"2016-02-18 15:57:30",8.02,2.96,18.95,"2016-02-18 15:57:30",-4.543,142.4812,-77.48965,32.38366,27.84967,205.5,3.06831,957.3148,1.417,963.1678,944.3699,964.4064,1.496,1.36,1.392,2819.176,2797.222,2823.658,76.05
"2016-02-18 16:15:00",4,12.1,12.09,11.85,-4.838,89.5,12.61,4.462,22.26,"2016-02-18 16:06:30",8.16,3.949,20.23,"2016-02-18 16:06:30",-4.625,126.7318,-69.6804,30.70873,26.28918,195.8,3.054782,956.1313,1.212,962.4591,942.408,963.5269,0.885,1.199,1.478,2815.049,2794.83,2822.073,76.12
"2016-02-18 16:30:00",5,12.1,12.09,11.81,-4.804,88.7,11.68,3.483,20.02,"2016-02-18 16:16:15",6.281,2.379,11.7,"2016-02-18 16:22:15",-4.542,151.9129,-81.68492,38.8066,33.9563,195.5,3.055602,956.8017,0.779,962.9059,943.3004,964.1987,0.904,0.443,0.898,2820.213,2796.978,2820.647,76.08
"2016-02-18 16:45:00",6,12.1,12.09,11.78,-4.85,88.2,12.39,3.609,20.45,"2016-02-18 16:39:30",7.291,3.143,15.11,"2016-02-18 16:43:00",-4.713,92.15262,-50.60313,20.92511,18.04027,196.2,2.999333,956.8174,1.557,963.2173,943.8387,963.3963,1.481,1.315,1.83,2815.87,2798.408,2825.456,76.06
"2016-02-18 17:00:00",7,12.1,12.09,11.74,-4.995,88.6,11.46,3.782,20.71,"2016-02-18 16:59:45",6.87,3.75,14.69,"2016-02-18 17:00:00",-4.926,53.59214,-29.51488,7.73507,6.787652,195,3.0762,957.2441,1.217,963.7338,943.8101,964.1887,1.49,0.578,1.374,2819.185,2796.547,2820.685,76.02
"2016-02-18 17:15:00",8,12.1,12.09,11.7,-5.073,86,12.52,4.196,21.73,"2016-02-18 17:03:15",7.153,3.349,17.3,"2016-02-18 17:00:15",-4.99,58.10052,-31.84719,6.854441,5.930739,198,3.061521,956.8125,1.089,962.2767,943.3466,964.8143,1.078,1.21,0.965,2817.073,2798.681,2825.395,76.12
"2016-02-18 17:30:00",9,12.1,12.09,11.67,-5.001,84.6,10.24,3.071,17.89,"2016-02-18 17:22:30",6,2.97,14.53,"2016-02-18 17:27:15",-4.927,48.74732,-27.37754,3.962728,3.540403,192.8,3.061337,957.0913,0.783,962.7814,943.7722,964.7202,0.847,0.57,0.893,2817.455,2797.512,2824.196,76.23
"2016-02-18 17:45:00",10,12.1,12.09,11.63,-4.991,85,9.76,2.897,16.98,"2016-02-18 17:43:15",6.272,2.761,15.01,"2016-02-18 17:44:00",-4.973,30.60539,-17.29735,-0.4558744,-0.4194363,192.3,3.06022,957.2898,1.604,962.248,944.2094,965.4118,1.491,1.58,1.733,2818.722,2798.344,2823.986,76.18
"2016-02-18 18:00:00",11,12.1,12.09,11.59,-5.087,85.7,10.83,3.16,18.1,"2016-02-18 17:47:30",6.939,2.748,14.85,"2016-02-18 17:55:30",-5.119,6.915839,-4.354123,-6.921946,-6.106631,196.6,3.054489,957.4977,1.016,963.3589,944.1636,964.9707,0.64,1.401,0.852,2817.264,2796.918,2823.872,76.23
